,t,x,y,status,evt
0,0.0,0.024252936,-0.6036129,False,0
1,0.001,0.026946975,-0.609001,False,0
2,0.002,0.029641015,-0.6278642,False,0
3,0.003,0.0323367,-0.5847497,False,0
4,0.004,0.04042046,-0.6009172,False,0
5,0.005,0.029641015,-0.609001,False,0
6,0.006,0.061977714,-0.6063069,False,0
7,0.007,0.035030738,-0.61169666,False,0
8,0.008,0.043114502,-0.6009172,False,0
9,0.009,0.04042046,-0.5874437,False,0
10,0.01,0.035030738,-0.5901394,False,0
11,0.011,0.05389395,-0.6063069,False,0
12,0.012,0.0080837635,-0.6036129,False,0
13,0.013,0.026946975,-0.61439073,False,0
14,0.014,0.013473487,-0.6009172,False,0
15,0.015,0.010779448,-0.6197804,False,0
16,0.016,0.035030738,-0.609001,False,0
17,0.017,0.035030738,-0.609001,False,0
18,0.018,0.05658799,-0.5901394,False,0
19,0.019,0.035030738,-0.6224745,False,0
20,0.02,0.029641015,-0.5874437,False,0
21,0.021,0.037726425,-0.63325393,False,0
22,0.022,0.043114502,-0.6036129,False,0
23,0.023,0.043114502,-0.6009172,False,0
24,0.024,0.0080837635,-0.59283346,False,0
25,0.025,0.043114502,-0.5901394,False,0
26,0.026,0.029641015,-0.6036129,False,0
27,0.027,0.045810185,-0.6009172,False,0
28,0.028,0.0080837635,-0.61169666,False,0
29,0.029,0.045810185,-0.609001,False,0
30,0.03,0.0323367,-0.61169666,False,0
31,0.031,0.0323367,-0.61439073,False,0
32,0.032,0.037726425,-0.59822315,False,0
33,0.033,0.035030738,-0.6009172,False,0
34,0.034,0.0080837635,-0.57666594,False,0
35,0.035,0.061977714,-0.6170864,False,0
36,0.036,0.029641015,-0.5901394,False,0
37,0.037,0.043114502,-0.6170864,False,0
38,0.038,0.029641015,-0.582054,False,0
39,0.039,0.026946975,-0.6170864,False,0
40,0.04,0.05658799,-0.57935995,False,0
41,0.041,0.048504226,-0.6036129,False,0
42,0.042,0.043114502,-0.5847497,False,0
43,0.043,0.061977714,-0.6036129,False,0
44,0.044,0.029641015,-0.582054,False,0
45,0.045,0.029641015,-0.59283346,False,0
46,0.046,0.0323367,-0.6036129,False,0
47,0.047,0.029641015,-0.6224745,False,0
48,0.048,0.024252936,-0.6197804,False,0
49,0.049,0.029641015,-0.5901394,False,0
50,0.05,0.05389395,-0.6170864,False,0
51,0.051,0.021557251,-0.6036129,False,0
52,0.052,0.026946975,-0.5847497,False,0
53,0.053,0.05119991,-0.5847497,False,0
54,0.054,0.010779448,-0.5874437,False,0
55,0.055,0.010779448,-0.59822315,False,0
56,0.056,0.024252936,-0.5874437,False,0
57,0.057,0.018863212,-0.6009172,False,0
58,0.058,0.026946975,-0.59552747,False,0
59,0.059,0.026946975,-0.57935995,False,0
60,0.06,0.024252936,-0.552413,False,0
61,0.061,0.037726425,-0.5335498,False,0
62,0.062,0.005389724,-0.5685805,False,0
63,0.063,0.037726425,-0.5389395,False,0
64,0.064,0.016167527,-0.552413,False,0
65,0.065,0.0026940396,-0.53624547,False,0
66,0.066,0.037726425,-0.5335498,False,0
67,0.067,0.045810185,-0.525466,False,0
68,0.068,0.0323367,-0.52277195,False,0
69,0.069,0.037726425,-0.51738226,False,0
70,0.07,0.04042046,-0.51738226,False,0
71,0.071,0.024252936,-0.52277195,False,0
72,0.072,0.018863212,-0.48504555,False,0
73,0.073,0.026946975,-0.52277195,False,0
74,0.074,0.05389395,-0.5012131,False,0
75,0.075,0.029641015,-0.5066028,False,0
76,0.076,0.037726425,-0.47157207,False,0
77,0.077,0.037726425,-0.495825,False,0
78,0.078,0.035030738,-0.495825,False,0
79,0.079,0.043114502,-0.4607926,False,0
80,0.08,0.037726425,-0.49043527,False,0
81,0.081,0.024252936,-0.47965583,False,0
82,0.082,0.013473487,-0.5012131,False,0
83,0.083,0.0323367,-0.4742661,False,0
84,0.084,0.0,-0.5092985,False,0
85,0.085,0.029641015,-0.495825,False,0
86,0.086,0.0026940396,-0.52816004,False,0
87,0.087,-0.037726425,-0.5308557,False,0
88,0.088,-0.035030738,-0.5443292,False,0
89,0.089,-0.05389395,-0.5335498,False,0
90,0.09,-0.05389395,-0.54702324,False,0
91,0.091,-0.08353496,-0.582054,False,0
92,0.092,-0.070061475,-0.57935995,False,0
93,0.093,-0.061977714,-0.5901394,False,0
94,0.094,-0.07275716,-0.5685805,False,0
95,0.095,-0.067367435,-0.609001,False,0
96,0.096,-0.045810185,-0.59283346,False,0
97,0.097,-0.024252936,-0.56049675,False,0
98,0.098,-0.016167527,-0.5712762,False,0
99,0.099,-0.026946975,-0.57666594,False,0
100,0.1,-0.010779448,-0.52277195,True,1
101,0.101,-0.026946975,-0.55510706,True,1
102,0.102,-0.013473487,-0.51738226,True,1
103,0.103,-0.021557251,-0.552413,True,1
104,0.104,-0.037726425,-0.5092985,True,1
105,0.105,-0.067367435,-0.50390875,True,1
106,0.106,-0.0646734,-0.5012131,True,1
107,0.107,-0.07814688,-0.52277195,True,1
108,0.108,-0.0754512,-0.54702324,True,1
109,0.109,-0.067367435,-0.5443292,True,1
110,0.11,-0.045810185,-0.55780274,True,1
111,0.111,-0.05658799,-0.6063069,True,1
112,0.112,-0.05658799,-0.5901394,True,1
113,0.113,-0.043114502,-0.6009172,True,1
114,0.114,-0.08353496,-0.63055986,True,1
115,0.115,-0.05658799,-0.6413377,True,1
116,0.116,-0.05658799,-0.6197804,True,1
117,0.117,-0.059283674,-0.59552747,True,1
118,0.118,-0.08084092,-0.5874437,True,1
119,0.119,-0.09700845,-0.5847497,True,1
120,0.12,-0.10509386,-0.5874437,True,1
121,0.121,-0.08353496,-0.59283346,True,1
122,0.122,-0.08892469,-0.5685805,True,1
123,0.123,-0.09700845,-0.582054,True,1
124,0.124,-0.08353496,-0.57935995,True,1
125,0.125,-0.059283674,-0.6170864,True,1
126,0.126,-0.09162037,-0.57935995,True,1
127,0.127,-0.08353496,-0.6224745,True,1
128,0.128,-0.08892469,-0.6197804,True,1
129,0.129,-0.07275716,-0.6170864,True,1
130,0.13,-0.059283674,-0.6063069,True,1
131,0.131,-0.061977714,-0.6251702,True,1
132,0.132,-0.067367435,-0.63055986,True,1
133,0.133,-0.070061475,-0.63594794,True,1
134,0.134,-0.0754512,-0.6251702,True,1
135,0.135,-0.08623065,-0.6224745,True,1
136,0.136,-0.10239818,-0.6009172,True,1
137,0.137,-0.09162037,-0.6278642,True,1
138,0.138,-0.09700845,-0.64942145,True,1
139,0.139,-0.067367435,-0.61439073,True,1
140,0.14,-0.09431441,-0.59552747,True,1
141,0.141,-0.09700845,-0.61169666,True,1
142,0.142,-0.059283674,-0.609001,True,1
143,0.143,-0.10239818,-0.65211713,True,1
144,0.144,-0.08623065,-0.64942145,True,1
145,0.145,-0.09162037,-0.63055986,True,1
146,0.146,-0.09700845,-0.63325393,True,1
147,0.147,-0.08353496,-0.6278642,True,1
148,0.148,-0.048504226,-0.6440334,True,1
149,0.149,-0.07275716,-0.61169666,True,1
150,0.15,-0.08353496,-0.6224745,True,1
151,0.151,-0.12395543,-0.63055986,True,1
152,0.152,-0.11317763,-0.6278642,True,1
153,0.153,-0.07814688,-0.63325393,True,1
154,0.154,-0.08892469,-0.63594794,True,1
155,0.155,-0.09431441,-0.6063069,True,1
156,0.156,-0.08353496,-0.63594794,True,1
157,0.157,-0.07814688,-0.63594794,True,1
158,0.158,-0.10239818,-0.63055986,True,1
159,0.159,-0.067367435,-0.6628949,True,1
160,0.16,-0.08892469,-0.65481114,True,1
161,0.161,-0.048504226,-0.6251702,True,1
162,0.162,-0.09162037,-0.6278642,True,1
163,0.163,-0.05658799,-0.6036129,True,1
164,0.164,-0.08084092,-0.63055986,True,1
165,0.165,-0.061977714,-0.61169666,True,1
166,0.166,-0.0754512,-0.61169666,True,1
167,0.167,-0.0754512,-0.63594794,True,1
168,0.168,-0.08892469,-0.6036129,True,1
169,0.169,-0.0754512,-0.6197804,True,1
170,0.17,-0.08084092,-0.63055986,True,1
171,0.171,-0.09162037,-0.6224745,True,1
172,0.172,-0.07275716,-0.6170864,True,1
173,0.173,-0.09700845,-0.6224745,True,1
174,0.174,-0.08084092,-0.6440334,True,1
175,0.175,-0.10239818,-0.6386436,True,1
176,0.176,-0.11317763,-0.6467274,True,1
177,0.177,-0.10509386,-0.61439073,True,1
178,0.178,-0.10509386,-0.6467274,True,1
179,0.179,-0.0754512,-0.63325393,True,1
180,0.18,-0.05389395,-0.6278642,True,1
181,0.181,-0.10239818,-0.6602009,True,1
182,0.182,-0.10239818,-0.65481114,True,1
183,0.183,-0.070061475,-0.6628949,True,1
184,0.184,-0.08623065,-0.64942145,True,1
185,0.185,-0.067367435,-0.63325393,True,1
186,0.186,-0.0646734,-0.61439073,True,2
187,0.187,-0.018863212,-0.6009172,True,2
188,0.188,-0.029641015,-0.53624547,True,2
189,0.189,0.0080837635,-0.5308557,True,2
190,0.19,0.070061475,-0.4877396,True,2
191,0.191,0.11587166,-0.4580986,True,2
192,0.192,0.1832391,-0.4015106,True,2
193,0.193,0.22096552,-0.3664782,True,2
194,0.194,0.2748595,-0.36917388,True,2
195,0.195,0.32605773,-0.3557004,True,2
196,0.196,0.3799517,-0.3045005,True,2
197,0.197,0.46618235,-0.2290493,True,2
198,0.198,0.55780274,-0.17784938,True,2
199,0.199,0.5874437,-0.11856735,True,2
200,0.2,0.6386436,-0.0080837635,True,2
201,0.201,0.6575068,0.04042046,True,2
202,0.202,0.67098033,0.09700845,True,3
203,0.203,0.6386436,0.11048194,True,3
204,0.204,0.6170864,0.11587166,True,3
205,0.205,0.57397026,0.11587166,True,3
206,0.206,0.54163355,0.13473487,True,3
207,0.207,0.5012131,0.08892469,True,3
208,0.208,0.44731912,0.08892469,True,3
209,0.209,0.41767812,0.048504226,True,3
210,0.21,0.40689868,0.005389724,True,3
211,0.211,0.3557004,-0.026946975,True,3
212,0.212,0.31527993,-0.035030738,True,3
213,0.213,0.32605773,-0.067367435,True,3
214,0.214,0.31797397,-0.12395543,True,3
215,0.215,0.3045005,-0.10239818,True,3
216,0.216,0.32066965,-0.1509024,True,3
217,0.217,0.30719617,-0.12934515,True,1
218,0.218,0.31258425,-0.11317763,True,1
219,0.219,0.35300472,-0.1077879,True,1
220,0.22,0.35031068,-0.10239818,True,1
221,0.221,0.36917388,-0.10239818,True,1
222,0.222,0.35839444,-0.10239818,True,1
223,0.223,0.34492096,-0.10239818,True,1
224,0.224,0.3745636,-0.08353496,True,1
225,0.225,0.3664782,-0.09162037,True,1
226,0.226,0.36378416,-0.11856735,True,1
227,0.227,0.37725765,-0.08623065,True,1
228,0.228,0.38264737,-0.09700845,True,1
229,0.229,0.39342517,-0.09162037,True,1
230,0.23,0.3745636,-0.07814688,True,1
231,0.231,0.40420464,-0.10509386,True,1
232,0.232,0.39342517,-0.10239818,True,1
